Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
1992-01-01,12.686477,30.388271,1.738607,25.663736,22.204543,5.585219
1992-02-01,9.13957,32.57593,1.822906,22.000274,18.686264,6.528652
1992-03-01,6.150201,21.375464,2.00011,22.924776,17.405784,6.196415
1992-04-01,9.225652,28.34524,1.455245,31.144293,16.779567,5.422824
1992-05-01,14.503611,22.068015,2.168646,26.827188,22.793426,5.458318
1992-06-01,5.875804,25.436167,3.084602,23.470112,16.00698,5.647866
1992-07-01,7.897472,39.20666,3.221636,32.987613,22.45458,7.817714
1992-08-01,12.519764,32.266141,2.566244,22.232722,18.338293,6.743245
1992-09-01,10.082031,30.13667,3.585721,23.871652,21.734925,7.744627
1992-10-01,10.444418,31.505199,2.093732,20.506381,23.656786,7.2056
1992-11-01,9.941301,27.276681,2.802029,23.538001,48.123194,8.049153
1992-12-01,7.163049,24.848818,4.993332,17.054992,11.36089,9.067251
1993-01-01,9.326678,24.065391,3.056536,22.740988,13.395634,6.104227
1993-02-01,7.206305,23.931616,2.196662,17.481958,15.749794,5.640379
1993-03-01,9.640769,26.131369,2.168717,24.749803,18.611137,7.459835
1993-04-01,4.848388,30.627918,5.318289,29.620266,40.768127,7.727627
1993-05-01,5.617131,26.402713,5.748485,24.623589,24.165968,7.330909
1993-06-01,4.954331,27.524137,6.021405,19.493302,18.220583,6.8264
1993-07-01,7.758656,30.126474,6.143429,25.79632,27.020149,7.609009
1993-08-01,10.780247,26.63163,3.753088,21.837104,14.678371,6.963497
1993-09-01,7.849499,32.601051,3.085838,21.133223,16.967536,10.392305
1993-10-01,8.868858,30.536734,4.679959,20.640428,21.604429,8.220262
1993-11-01,14.674273,29.609414,6.725455,19.638553,44.175811,8.856244
1993-12-01,10.163332,36.006312,4.41946,30.674241,44.340109,14.193213
1994-01-01,9.031614,24.475823,6.354286,16.109114,16.8334,9.564091
1994-02-01,6.462669,22.559848,2.830046,20.511129,14.968004,7.442387
1994-03-01,8.373304,28.013823,6.610687,24.479018,23.764088,9.177513
1994-04-01,10.369298,28.202975,4.393764,18.398517,17.668853,8.784417
1994-05-01,8.712993,27.765967,5.657268,18.657931,23.037607,11.145162
1994-06-01,5.989623,31.787864,3.492646,18.944293,18.860586,9.632017
1994-07-01,8.657105,29.50642,4.955964,22.576428,29.8974,9.671925
1994-08-01,11.176713,27.089174,5.321745,18.693159,25.519902,11.095892
1994-09-01,10.451814,38.798763,3.407183,23.852472,23.474759,10.5002
1994-10-01,9.693204,36.833271,3.434871,22.491989,26.241693,10.458007
1994-11-01,8.878217,35.011348,4.468487,23.213694,34.344795,12.16591
1994-12-01,15.229055,31.404918,6.587591,20.07918,34.187343,13.091355
1995-01-01,10.708288,30.87863,3.346695,18.999555,30.20211,8.436682
1995-02-01,9.356063,30.459888,6.380093,21.991016,27.104507,9.065542
1995-03-01,13.816223,40.489138,4.64483,26.842062,28.853147,12.143843
1995-04-01,14.323026,33.718422,7.039967,21.36902,19.117591,8.980265
1995-05-01,8.214062,35.82608,5.640435,46.895682,74.545676,13.165012
1995-06-01,8.822188,36.347653,4.998919,20.623071,34.780596,10.445702
1995-07-01,10.247955,36.775268,3.846724,23.265202,19.664918,10.908739
1995-08-01,11.139027,42.204027,3.856453,26.530927,26.072388,10.551488
1995-09-01,10.813504,37.580371,5.09724,24.709896,30.313483,9.62571
1995-10-01,10.644346,36.105369,5.115336,32.361772,20.832756,9.877451
1995-11-01,9.721619,42.692975,4.586714,37.666705,21.830686,12.247591
1995-12-01,9.736136,33.988436,12.629346,18.223409,21.879074,9.91672
1996-01-01,11.240133,34.557701,6.967763,19.699913,20.024532,10.248213
1996-02-01,13.181513,31.542149,2.053484,24.996393,20.565892,10.004683
1996-03-01,12.796686,36.96715,1.553318,24.590846,24.405031,14.410723
1996-04-01,14.793965,34.503264,3.713829,33.750113,40.881619,10.412285
1996-05-01,16.765593,34.865433,4.577042,37.720736,22.175126,14.242932
1996-06-01,13.088898,33.178554,4.616857,22.735345,19.189568,14.018155
1996-07-01,12.851244,44.760672,4.940178,32.050157,26.22561,14.77777
1996-08-01,8.942303,36.987403,4.188579,34.013566,27.270297,13.92246
1996-09-01,10.285068,44.726814,5.809788,27.235888,86.516042,11.507886
1996-10-01,11.376236,57.977356,6.13226,44.856179,24.033708,14.891368
1996-11-01,14.059704,47.826573,3.031701,50.534497,25.734852,13.547114
1996-12-01,17.857236,42.565051,5.799422,39.103981,77.823351,16.624106
1997-01-01,10.854309,43.388293,6.105716,57.561594,58.902044,12.810824
1997-02-01,8.987712,33.035064,6.282071,31.026737,21.637334,9.829044
1997-03-01,9.870515,40.742306,6.086344,28.049281,23.082787,11.846901
1997-04-01,11.391238,38.386141,7.094424,46.262192,26.586249,14.857608
1997-05-01,10.708202,36.704212,12.835023,35.348644,33.824145,11.963212
1997-06-01,9.000598,42.492798,17.284256,33.487474,35.040642,13.977224
1997-07-01,15.612234,46.206711,31.94962,40.505479,38.523687,15.312536
1997-08-01,15.44339,40.178194,13.017299,44.013879,33.230526,12.660445
1997-09-01,13.32008,48.175567,5.070892,47.655128,34.275194,15.272073
1997-10-01,19.336329,62.084875,11.031789,52.30445,49.785954,14.143743
1997-11-01,14.554296,47.658036,11.364036,38.099955,37.817164,15.066753
1997-12-01,14.941674,50.18836,10.535597,46.890629,44.856018,16.604812
1998-01-01,10.034004,61.002043,9.011581,47.037628,37.307597,14.528956
1998-02-01,10.470943,49.4477,7.134247,34.242088,33.658539,11.477467
1998-03-01,16.744658,53.403069,10.321997,35.470606,41.745522,17.712337
1998-04-01,17.213104,52.044772,11.233654,43.279578,40.185483,14.302385
1998-05-01,12.315783,50.755092,6.771414,45.290886,36.459596,15.833475
1998-06-01,17.251241,102.587758,7.099422,57.269511,35.194713,19.840332
1998-07-01,15.907125,67.241536,8.74729,57.527659,30.356635,18.078453
